,time,cpu_avg,power_all,power_cpu,power_gpu,%CPU,%mem
258,18:19:18,0.015,3.25657,3.25657,0.0,7.0,7.0
259,18:19:19,0.01496,3.25688,3.25688,0.0,7.0,7.0
260,18:19:20,0.01759,3.23603,3.23603,0.0,7.0,7.0
261,18:19:21,0.01496,3.25688,3.25688,0.0,7.0,7.0
262,18:19:22,0.005,3.34985,3.34985,0.0,7.0,7.0
263,18:19:23,0.02519,3.1833,3.1833,0.0,7.0,7.0
264,18:19:24,0.01496,3.25688,3.25688,0.0,7.0,7.0
265,18:19:25,0.01253,3.27748,3.27748,0.0,7.0,7.0
266,18:19:26,0.02244,3.2011,3.2011,0.0,7.0,7.0
267,18:19:27,0.01253,3.27748,3.27748,0.0,7.0,7.0
268,18:19:28,0.0275,3.16934,3.16934,0.0,7.0,7.0
269,18:19:29,0.03769,3.11799,3.11799,0.0,7.0,7.0
270,18:19:30,0.015,3.25657,3.25657,0.0,7.0,7.0
271,18:19:31,0.01253,3.27748,3.27748,0.0,7.0,7.0
272,18:19:32,0.01754,3.23637,3.23637,0.0,7.0,7.0
273,18:19:33,0.01253,3.27748,3.27748,0.0,7.0,7.0
275,18:19:35,0.02,3.21811,3.21811,0.0,7.0,7.0
276,18:19:36,0.015,3.25657,3.25657,0.0,7.0,7.0
277,18:19:37,0.0125,3.27776,3.27776,0.0,7.0,7.0
278,18:19:38,0.01759,3.23603,3.23603,0.0,7.0,7.0
279,18:19:39,0.02506,3.18408,3.18408,0.0,7.0,7.0
280,18:19:40,0.005,3.34985,3.34985,0.0,7.0,7.0
281,18:19:41,0.0325,3.14216,3.14216,0.0,7.0,7.0
282,18:19:42,0.01253,3.27748,3.27748,0.0,7.0,7.0
283,18:19:43,0.015,3.25657,3.25657,0.0,7.0,7.0
284,18:19:44,0.02005,3.21775,3.21775,0.0,7.0,7.0
285,18:19:45,0.015,3.25657,3.25657,0.0,7.0,7.0
286,18:19:46,0.02757,3.16894,3.16894,0.0,7.0,7.0
287,18:19:47,0.01754,3.23637,3.23637,0.0,7.0,7.0
288,18:19:48,0.015,3.25657,3.25657,0.0,7.0,7.0
289,18:19:49,0.01253,3.27748,3.27748,0.0,7.0,7.0
290,18:19:50,0.02244,3.2011,3.2011,0.0,7.0,7.0
291,18:19:51,0.0201,3.21739,3.21739,0.0,7.0,7.0
293,18:19:53,0.01754,3.23637,3.23637,0.0,7.0,7.0
294,18:19:54,0.015,3.25657,3.25657,0.0,7.0,7.0
295,18:19:55,0.015,3.25657,3.25657,0.0,7.0,7.0
296,18:19:56,0.0399,3.10884,3.10884,0.0,7.0,7.0
297,18:19:57,0.01253,3.27748,3.27748,0.0,7.0,7.0
298,18:19:58,0.01496,3.25688,3.25688,0.0,7.0,7.0
299,18:19:59,0.00501,3.34972,3.34972,0.0,7.0,7.0
