
2023-07-06 12:06:55 python3.10 04_nn.py is not running
2023-07-06 12:06:56 python3.10 04_nn.py is not running
2023-07-06 12:06:57 python3.10 04_nn.py is not running
2023-07-06 12:06:58 python3.10 04_nn.py is not running
2023-07-06 12:06:59 python3.10 04_nn.py is not running
2023-07-06 12:07:00 python3.10 04_nn.py is not running
2023-07-06 12:07:01 python3.10 04_nn.py is not running
2023-07-06 12:07:02 python3.10 04_nn.py is not running
2023-07-06 12:07:03 python3.10 04_nn.py is not running
2023-07-06 12:07:04 python3.10 04_nn.py is not running
2023-07-06 12:07:05 python3.10 04_nn.py is not running
2023-07-06 12:07:06 python3.10 04_nn.py is not running
2023-07-06 12:07:08 python3.10 04_nn.py is not running
2023-07-06 12:11:00   24731    1961 78.8 50.1 python3.10 04_nn.py
2023-07-06 12:11:01   24731    1961 79.0 50.1 python3.10 04_nn.py
2023-07-06 12:11:02   24731    1961 80.1 50.1 python3.10 04_nn.py
2023-07-06 12:11:03   24731    1961 81.2 50.1 python3.10 04_nn.py
2023-07-06 12:11:05   24731    1961 82.3 50.1 python3.10 04_nn.py
2023-07-06 12:11:06   24731    1961 83.3 50.1 python3.10 04_nn.py
2023-07-06 12:11:07   24731    1961 84.4 50.1 python3.10 04_nn.py
2023-07-06 12:11:08   24731    1961 85.4 50.1 python3.10 04_nn.py
2023-07-06 12:11:09   24731    1961 86.4 50.1 python3.10 04_nn.py
2023-07-06 12:11:10   24731    1961 87.4 50.1 python3.10 04_nn.py
2023-07-06 12:11:11   24731    1961 88.4 50.1 python3.10 04_nn.py
2023-07-06 12:11:12   24731    1961 89.3 50.1 python3.10 04_nn.py
2023-07-06 12:11:13   24731    1961 90.2 50.1 python3.10 04_nn.py
2023-07-06 12:11:14   24731    1961 90.2 50.1 python3.10 04_nn.py
2023-07-06 12:11:15   24731    1961 90.4 37.2 python3.10 04_nn.py
2023-07-06 12:11:16   24731    1961 90.5 37.2 python3.10 04_nn.py
2023-07-06 12:11:18   24731    1961 90.4 37.2 python3.10 04_nn.py
2023-07-06 12:11:19   24731    1961 89.5 37.2 python3.10 04_nn.py
2023-07-06 12:11:20   24731    1961 88.7 37.2 python3.10 04_nn.py
2023-07-06 12:11:21   24731    1961 87.8 37.2 python3.10 04_nn.py
2023-07-06 12:11:22   24731    1961 87.0 37.2 python3.10 04_nn.py
2023-07-06 12:11:23   24731    1961 86.1 37.2 python3.10 04_nn.py
2023-07-06 12:11:24   24731    1961 85.3 37.2 python3.10 04_nn.py
